Date	Transaction	Amount	Name	Memo
4/2/2021	OTHER	7.16	Interac - Purchase - ULTRAMAR #3	ULTRAMAR #36152 MONTREAL  QC  CA
4/3/2021	OTHER	1.08	Withdrawal to Tangerine Savings 	Transferred
4/3/2021	OTHER	26.79	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
4/4/2021	OTHER	0.21	Withdrawal to Tangerine Savings 	Transferred
4/4/2021	OTHER	55	INTERAC e-Transfer To: IPTV Diab	Transferred
4/4/2021	OTHER	11.49	Interac - Purchase - COUCHE-TARD	COUCHE-TARD # 1 MONTREAL  QC  CA
4/5/2021	OTHER	0.51	Withdrawal to Tangerine Savings 	Transferred
4/5/2021	OTHER	16.19	Interac - Purchase - BROCCA MONT	BROCCA MONTREAL  QC  CA
4/5/2021	OTHER	75.36	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
4/5/2021	OTHER	37.26	Interac - Purchase - ALIMENTATIO	ALIMENTATION P. SAINT-LEON  QC  CA
4/6/2021	OTHER	2.19	Withdrawal to Tangerine Savings 	Transferred
4/7/2021	OTHER	1.37	Withdrawal to Tangerine Savings 	Transferred
4/7/2021	OTHER	50	Interac - Purchase - PETRO-CANAD	PETRO-CANADA MONTREAL  QC  CA
4/7/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/7/2021	OTHER	7.8	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
4/8/2021	OTHER	1.4	Withdrawal to Tangerine Savings 	Transferred
4/11/2021	OTHER	0.54	Withdrawal to Tangerine Savings 	Transferred
4/14/2021	OTHER	1.32	Withdrawal to Tangerine Savings 	Transferred
4/15/2021	OTHER	1.27	Withdrawal to Tangerine Savings 	Transferred
4/15/2021	ATM	40	Withdrawal - Scotiabank ABM	BANK OF NOVA SCOTIA MONTREAL  PQ  CA
4/15/2021	OTHER	24.12	Interac - Purchase - BRUNET PLUS	BRUNET PLUS ANJ ANJOU  QC  CA
4/15/2021	OTHER	51.42	Interac - Purchase - RONA ENT. A	RONA ENT. ANJOU ANJOU  QC  CA
4/15/2021	OTHER	36.38	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLEE VERTE MONTREAL  QC  CA
4/16/2021	OTHER	2.74	Withdrawal to Tangerine Savings 	Transferred
4/16/2021	OTHER	11.9	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/16/2021	OTHER	26.63	Interac - Purchase - MCDONALD'S 	MCDONALD'S #270 ST.LEONARD  QC  CA
4/16/2021	OTHER	10.34	Interac - Purchase - JEAN COUTU 	JEAN COUTU #092 MONTREAL  QC  CA
4/17/2021	OTHER	1.87	Withdrawal to Tangerine Savings 	Transferred
4/19/2021	OTHER	206.46	EFT Withdrawal to CIE BELAIR	To CIE BELAIR
4/19/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
4/19/2021	OTHER	900	EFT Deposit from CANADA	From CANADA
4/19/2021	OTHER	48.32	Interac - Purchase - BRUNET PLUS	BRUNET PLUS ANJ ANJOU  QC  CA
4/19/2021	ATM	"1,740.48"	Tangerine Credit Card Payment	Credit Card Payment
4/19/2021	OTHER	15.49	Interac - Purchase - MCDONALD'S 	MCDONALD'S #795 MONTREAL  QC  CA
4/20/2021	OTHER	1.73	Withdrawal to Tangerine Savings 	Transferred
4/20/2021	OTHER	7.8	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
4/21/2021	OTHER	1.25	Withdrawal to Tangerine Savings 	Transferred
4/21/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
4/22/2021	OTHER	0.79	Withdrawal to Tangerine Savings 	Transferred
4/22/2021	OTHER	15.21	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
